0,4056500.748314,627489.353306,4683990.101620
1,792568.697676,649902.624187,1442471.321863
2,686774.554703,654266.920428,1341041.475131
3,637364.234566,657610.924192,1294975.158758
4,587734.412104,661045.119131,1248779.531235
5,536096.265790,664543.259436,1200639.525226
6,485261.299652,667942.067244,1153203.366896
7,437799.896649,671097.201159,1108897.097808
8,394850.536154,673940.940539,1068791.476694
9,356587.167270,676461.916140,1033049.083410
10,322795.064814,678675.983803,1001471.048617
11,293103.285626,680610.194957,973713.480583
12,267075.273849,682294.955966,949370.229815
13,244263.786128,683760.186507,928023.972636
14,224245.521729,685033.666626,909279.188355
15,206638.212103,686140.531350,892778.743452
16,191105.542625,687103.236779,878208.779404
17,177355.510420,687941.677265,865297.187685
18,165135.983121,688673.400408,853809.383528
19,154230.001908,689313.877544,843543.879452
20,144452.723954,689876.625469,834329.349423
21,135649.845335,690373.092932,826022.938266
22,127694.683805,690812.624662,818507.308467
23,120482.971486,691202.762331,811685.733817
24,113928.358709,691549.698426,805478.057135
25,107960.990695,691858.623308,799819.614004
26,102530.894140,692133.965005,794664.859145
27,97623.618881,692379.957798,790003.576680
28,93305.786796,692603.808045,785909.594841
29,89793.614554,692829.381838,782622.996392
30,87333.469102,693126.484060,780459.953162
31,85472.220185,693589.697395,779061.917580
32,82689.166585,694172.243151,776861.409736
33,78437.386311,694666.108468,773103.494779
34,74077.188982,694975.939690,769053.128672
35,70582.548563,695158.554040,765741.102603
36,67859.159372,695279.965759,763139.125131
37,65595.654132,695370.279128,760965.933259
38,63623.037869,695439.261451,759062.299320
39,61876.354416,695490.348373,757366.702789
40,60328.942855,695525.684666,755854.627521
41,58965.343044,695547.047681,754512.390725
42,57772.956697,695555.798998,753328.755695
43,56739.125517,695552.928783,752292.054299
44,55850.772888,695539.161566,751389.934454
45,55095.690694,695514.943974,750610.634668
46,54463.947886,695480.334087,749944.281973
47,53948.195086,695434.933088,749383.128175
48,53542.216676,695378.058803,748920.275479
49,53237.831026,695309.295077,748547.126103
50,53022.297270,695229.162593,748251.459863
51,52878.898922,695139.356629,748018.255552
52,52788.352331,695042.569212,747830.921542
53,52727.043872,694942.475959,747669.519831
54,52665.387071,694843.796795,747509.183865
55,52572.096395,694751.812609,747323.909004
56,52422.337388,694671.356262,747093.693650
57,52203.058108,694605.924672,746808.982780
58,51912.076828,694557.422039,746469.498867
59,51552.279358,694526.527072,746078.806431
60,51125.147604,694513.309888,745638.457492
61,50627.049356,694517.701350,745144.750706
62,50049.676209,694539.618526,744589.294735
63,49383.580217,694578.779617,743962.359833
64,48622.518083,694634.401083,743256.919166
65,47766.342991,694704.994504,742471.337496
66,46821.829860,694788.357410,741610.187269
67,45802.052027,694881.713655,740683.765682
68,44725.086981,694981.920560,739707.007541
69,43612.341224,695085.682038,738698.023262
70,42486.995437,695189.718161,737676.713598
71,41373.442349,695290.799282,736664.241631
72,40302.052346,695385.221409,735687.273755
73,39346.194172,695464.819773,734811.013944
74,38901.913148,695485.058568,734386.971716
75,42265.342927,695045.005748,737310.348675
76,86774.221557,689182.287933,775956.509490
77,696445.511066,620873.827310,1317319.338375
78,1588260.217307,613928.794545,2202189.011851
79,76761.307709,615643.138386,692404.446095
80,36440.309797,615723.914500,652164.224297
81,33999.265230,615745.980240,649745.245470
82,33346.818572,615768.360272,649115.178844
83,32865.726586,615792.790196,648658.516782
84,32804.763418,615805.610080,648610.373498
85,35459.161467,615760.278774,651219.440241
86,55845.096797,615796.228818,671641.325616
87,176565.355331,621283.687583,797849.042914
88,488999.543537,667514.145220,1156513.688758
89,283292.695625,707997.221384,991289.917009
90,143840.976180,713177.254428,857018.230608
91,438712.712140,693679.506695,1132392.218836
92,670440.156230,675357.747537,1345797.903767
93,152325.049770,673857.271910,826182.321680
94,45539.542167,673770.369719,719309.911886
95,30754.904804,673772.601211,704527.506015
96,28536.135148,673777.057842,702313.192990
97,28133.818460,673777.533160,701911.351620
98,28048.004990,673773.317645,701821.322635
99,28094.777165,673763.479264,701858.256429
100,28401.018908,673742.246671,702143.265579
101,29339.006547,673691.997158,703031.003705
102,31675.488817,673569.514079,705245.002897
103,36918.279836,673276.058326,710194.338161
104,47781.015355,672629.942482,720410.957837
105,67798.124740,671498.053662,739296.178402
106,96994.230115,670443.582146,767437.812261
107,122525.497329,671331.020270,793856.517599
108,122796.030306,675113.708456,797909.738762
109,97831.240114,679596.684202,777427.924315
110,69417.124898,682669.045318,752086.170217
111,50750.253813,684175.790809,734926.044622
112,42196.735819,684673.824359,726870.560178
113,40622.518261,684583.239792,725205.758053
114,43751.635054,684114.735345,727866.370399
115,50505.801203,683438.650129,733944.451331
116,60117.159438,682919.146600,743036.306039
117,70345.407943,683186.126320,753531.534263
118,76034.695071,684499.022370,760533.717441
119,73318.503651,686132.274172,759450.777824
120,65608.878970,687240.534525,752849.413495
121,65099.269497,686661.638056,751760.907553
122,163033.736866,671389.120550,834422.857416
123,1483314.606514,546659.819128,2029974.425642
124,302037.451980,540009.321864,842046.773844
125,63978.445560,539735.044391,603713.489950
126,37063.301999,539757.075432,576820.377431
127,35586.389140,539761.768392,575348.157531
128,41207.928462,539728.904924,580936.833386
129,54960.875762,539659.392020,594620.267782
130,82764.377043,539642.373969,622406.751012
131,130219.814857,540230.181808,670449.996666
132,184119.696157,543045.358613,727165.054770
133,197614.825526,549111.155787,746725.981313
134,155760.156425,555783.489483,711543.645907
135,110750.769611,560478.612184,671229.381794
136,135119.125717,564077.586472,699196.712189
137,541504.023359,583781.439450,1125285.462809
